
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
    528		      1 	  528.0	   180.000	  56.2	    8.2	    9.6	      1	 281.3	    528	  0.000	    9.6	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
    863		      2 	  335.0	   105.000	  69.5	    4.6	    9.7	      2	 347.8	    863	  0.000	    9.7	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   1113		      3 	  250.0	    75.000	  69.4	    4.7	    9.6	      3	 347.3	   1113	  0.000	    9.6	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   1469		      4 	  356.0	   155.000	  69.7	    4.7	    9.6	      4	 348.8	   1469	  0.000	    9.6	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   1779		      5 	  310.0	    55.000	  72.0	    4.4	    9.4	      5	 359.6	   1779	  0.000	    9.4	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   2433		      6 	  654.0	   285.000	  72.9	    4.4	    9.3	      6	 364.4	   2433	  0.000	    9.3	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   2822		      7 	  389.0	   135.000	  72.6	    4.5	    9.2	      7	 363.2	   2822	  0.000	    9.2	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   3427		      8 	  605.0	   245.000	  71.5	    4.5	    9.4	      8	 357.5	   3427	  0.000	    9.4	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   3890		      9 	  463.0	   210.000	  72.0	    4.6	    9.3	      9	 359.8	   3890	  0.000	    9.3	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
   4328		     10 	  438.0	   165.000	  72.0	    4.6	    9.2	     10	 360.0	   4328	  0.000	    9.2	    0.0	      0 	 2.50e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	
